ordre,id,phase,priorite,plateforme,scenario,prerequis,actions,resultat_attendu,notes_build,statut,commentaire
1,INFO-001,Instructions,Obligatoire,Les deux,Comment utiliser ce fichier,,Lire chaque ligne comme un scénario de test. Cocher la colonne Statut : À faire / OK / KO / Bloqué. En cas de KO ou Bloqué remplir Commentaire avec étapes précises appareil modèle OS version et capture écran si possible.,,,À faire,
2,INFO-002,Instructions,Obligatoire,Les deux,Builds et environnements,,iOS : installer Wintix depuis TestFlight (build production). Android : installer Wintix (Preview) via le lien interne fourni par l'équipe.,Les deux apps parlent au même backend : mêmes loteries et missions visibles. Seul le nom affiché diffère (Wintix vs Wintix Preview). Les deux peuvent coexister sur le même téléphone.,Prod iOS = nom Wintix bundle com.winlab.app. Preview Android = nom Wintix (Preview) bundle com.winlab.app.preview. Pas de connexion mot de passe : uniquement email + code OTP.,À faire,
3,INFO-003,Instructions,Obligatoire,Les deux,Compte de test,,Utiliser une adresse email personnelle ou un compte test fourni. Chaque testeur doit idéalement créer un nouveau compte pour le parcours inscription complet.,Code OTP reçu par email (vérifier courrier indésirable). Ne pas réutiliser le même compte entre testeurs si vous testez l'inscription from scratch.,,À faire,
4,INFO-004,Instructions,Obligatoire,Les deux,Remonter un bug,,Noter : ID du scénario | appareil | OS | build | étapes | attendu vs obtenu | capture.,L'équipe produit traite les KO Bloqués en priorité sur les scénarios Obligatoires.,,À faire,
5,INST-001,Installation,Obligatoire,iOS,Installation TestFlight,,Ouvrir l'invitation TestFlight. Installer Wintix. Lancer l'app.,Installation réussie. Splash puis onboarding ou écran connexion. Pas de crash au lancement.,Build production TestFlight.,À faire,
6,INST-002,Installation,Obligatoire,Android,Installation Preview,,Télécharger et installer Wintix (Preview) depuis le lien interne. Autoriser sources inconnues si demandé. Lancer l'app.,Installation réussie. Le nom Wintix (Preview) apparaît sous l'icône. Pas de crash au lancement.,Build preview distribution interne.,À faire,
7,INST-003,Installation,Recommandé,Les deux,Permissions au premier lancement,,À la demande accepter les notifications. Plus tard accepter l'accès photos si changement d'avatar.,Messages de permission en français clairs. Refuser les notifs ne doit pas faire crasher l'app.,Push fiables uniquement sur appareil réel pas simulateur.,À faire,
8,ONBD-001,Onboarding,Obligatoire,Les deux,Première ouverture — slides,,Première installation ou réinstallation. Parcourir les slides avec Suivant. Terminer sur le dernier slide.,Slides lisibles en français. Arrivée sur l'écran de saisie email.,,À faire,
9,ONBD-002,Onboarding,Obligatoire,Les deux,Passer l'onboarding,,Depuis les slides appuyer sur Passer.,Arrivée directe sur l'écran email sans crash.,,À faire,
10,AUTH-001,Authentification,Obligatoire,Les deux,Connexion OTP — envoi code,,Saisir un email valide. Demander le code.,Message de confirmation ou passage à l'écran OTP. Email reçu avec le code (vérifier spams).,,À faire,
11,AUTH-002,Authentification,Obligatoire,Les deux,Connexion OTP — code valide,,Saisir le code reçu. Valider.,Connexion réussie. Redirection création profil (nouveau compte) ou accueil (compte existant).,,À faire,
12,AUTH-003,Authentification,Obligatoire,Les deux,Connexion OTP — code invalide,,Saisir un code incorrect volontairement.,Message d'erreur en français. Possibilité de réessayer ou renvoyer un code. Pas de crash.,,À faire,
13,AUTH-004,Authentification,Recommandé,Les deux,Renvoyer le code OTP,,Sur l'écran OTP utiliser l'action de renvoi si disponible.,Nouveau code reçu. Ancien code invalidé ou message clair.,,À faire,
14,AUTH-005,Authentification,Recommandé,Les deux,Déconnexion puis reconnexion,,Profil → Se déconnecter. Se reconnecter avec le même email via OTP.,Retour à l'écran email puis accueil avec données profil conservées.,,À faire,
15,PROF-001,Création profil,Obligatoire,Les deux,Création profil France,,Nouveau compte. Remplir pseudo date de naissance sexe. Pays France + département. Valider.,Profil créé. Arrivée sur l'accueil avec 5 onglets en bas.,Pseudo min 3 caractères. Département obligatoire pour la France.,À faire,
16,PROF-002,Création profil,Obligatoire,Les deux,Création profil Suisse ou Luxembourg,,Nouveau compte (autre email). Choisir CH ou LU comme pays. Pas de champ département.,Profil créé sans demande de département.,,À faire,
17,PROF-003,Création profil,Recommandé,Les deux,Code parrain à l'inscription,,À la création saisir un code parrain valide fourni par l'équipe.,Inscription OK. Pas de message d'erreur bloquant.,Le bonus parrain se déclenche après validation admin d'une première mission éligible.,À faire,
